latitude,longitude,elevation
24.397,121.3077,1400.0
24.396892,121.307373,1900.4
24.396891,121.307424,1900.5
24.397081,121.307954,1900.7
24.39714,121.30799,1900.7
24.397487,121.307933,1900.7
24.397537,121.307905,1900.8
24.397662,121.307742,1901.0
24.3989,121.3083,1450.0
24.397925,121.307816,1902.5
24.398296,121.307955,1905.1
24.398514,121.308101,1906.6
24.398782,121.308182,1908.9
24.399099,121.308315,1911.1
24.399156,121.308324,1911.9
24.399457,121.308101,1915.2
24.399663,121.307886,1916.5
24.399935,121.307736,1917.4
24.400384,121.307369,1920.9
24.400447,121.307352,1921.7
24.400531,121.307357,1922.7
24.400971,121.307125,1927.8
24.401079,121.307034,1928.8
24.401183,121.306979,1929.9
24.40131,121.306961,1930.9
24.401718,121.306991,1934.8
24.401808,121.306985,1935.8
24.401885,121.306937,1936.7
24.401948,121.306937,1937.6
24.402175,121.30699,1939.5
24.402497,121.307124,1942.6
24.402744,121.307189,1944.9
24.403121,121.3072,1950.1
24.403528,121.307269,1956.4
24.403795,121.307291,1959.9
24.403917,121.307334,1961.9
24.404258,121.307361,1967.8
24.404388,121.307419,1969.7
24.404723,121.30749,1975.5
24.404959,121.307602,1979.3
24.405033,121.307618,1981.2
24.405104,121.307586,1983.1
24.40522,121.30758,2100.0
24.405143,121.307608,1985.1
24.405194,121.307607,1987.0
24.405198,121.307607,1988.9
24.405201,121.307604,1990.7
24.405222,121.307583,1992.3
24.405222,121.307583,2004.7
24.405201,121.307604,2004.6
24.405198,121.307607,2005.8
24.405199,121.307609,2001.4
24.405398,121.308377,1990.8
24.405626,121.308748,1989.4
24.405906,121.308636,1989.2
24.406572,121.309078,1986.9
24.406807,121.309362,1988.0
24.406911,121.309487,1988.5
24.407483,121.309609,1995.4
24.407665,121.309535,1998.8
24.41011,121.31125,2300.0
24.408112,121.31031,2017.8
24.408494,121.310223,2029.3
24.409465,121.310962,2073.8
24.409381,121.311337,2085.7
24.409775,121.311558,2102.4
24.409999,121.311503,2112.4
24.410564,121.311149,2148.9
24.410986,121.311035,2169.5
24.411122,121.310978,2174.8
24.411226,121.311045,2180.1
24.411281,121.31094,2186.1
24.411335,121.310998,2191.8
24.411569,121.310792,2207.5
24.411618,121.310842,2212.0
24.411701,121.310688,2216.7
24.411821,121.310715,2221.3
24.411856,121.310616,2226.3
24.412085,121.310488,2236.9
24.412148,121.3103,2247.6
24.412264,121.310302,2253.3
24.412318,121.310126,2259.7
24.412404,121.310188,2266.2
24.412424,121.310065,2272.9
24.412697,121.30991,2294.2
24.412715,121.309769,2300.7
24.412829,121.309677,2307.6
24.412912,121.309689,2314.5
24.413065,121.309535,2327.7
24.413127,121.309393,2334.2
24.413214,121.30935,2340.0
24.413322,121.309159,2350.9
24.413425,121.309184,2355.9
24.41348,121.309009,2360.7
24.413547,121.309104,2365.2
24.413557,121.309025,2369.7
24.413605,121.309035,2373.5
24.413612,121.308922,2376.7
24.41368,121.308922,2379.7
24.4163,121.3072,2700.0
24.413852,121.308814,2384.9
24.413831,121.30874,2387.1
24.414733,121.308368,2410.2
24.414767,121.308218,2413.1
24.414932,121.308213,2416.4
24.416042,121.307222,2499.2
24.416289,121.307206,2513.1
24.416829,121.307024,2553.3
24.417609,121.306878,2596.3
24.4178,121.306966,2604.8
24.418351,121.307128,2624.9
24.419,121.306623,2641.5
24.419586,121.306483,2653.3
24.419988,121.305614,2683.6
24.420311,121.305347,2700.3
24.420427,121.305347,2704.4
24.420519,121.305291,2708.7
24.420554,121.305289,2712.8
24.420661,121.305317,2717.1
24.420707,121.305386,2721.5
24.420793,121.305368,2725.4
24.420872,121.305311,2729.0
24.420938,121.305342,2732.2
24.420962,121.305371,2736.2
24.420996,121.305384,2740.0
24.42114,121.305399,2743.5
24.421166,121.305395,2746.7
24.421578,121.305333,2756.9
24.421806,121.305195,2763.0
24.422319,121.305305,2781.0
24.422389,121.30469,2801.1
24.422851,121.304831,2817.8
24.423189,121.304958,2828.6
24.423525,121.304887,2836.0
24.423651,121.304826,2838.6
24.424153,121.304829,2852.0
24.424252,121.304563,2858.0
24.424471,121.304434,2864.9
24.4264,121.30377,3000.0
24.424862,121.304356,2879.4
24.42501,121.304397,2883.6
24.4251,121.304456,2887.6
24.425429,121.304309,2900.8
24.425613,121.304139,2911.0
24.425813,121.303869,2927.1
24.426104,121.303658,2942.8
24.426397,121.303748,2959.9
24.426605,121.303686,2971.8
24.426708,121.303505,2984.1
24.426727,121.303313,2990.0
24.427053,121.303316,3008.9
24.427498,121.303578,3036.8
24.427517,121.303695,3041.5
24.427729,121.30369,3050.3
24.427772,121.303814,3055.0
24.428027,121.303691,3067.0
24.428065,121.303596,3070.8
24.428197,121.303784,3077.5
24.428315,121.304023,3083.1
24.428753,121.304088,3091.3
24.428879,121.303986,3093.6
24.428866,121.304103,3095.8
24.428996,121.304118,3098.5
24.429164,121.303995,3104.2
24.429175,121.304148,3107.2
24.43251,121.30463,3323.0
24.429297,121.304086,3110.4
24.45003,121.32139,3133.0
