geometry,elevation,latitude,longitude
POINT (121.30702 24.397526),,24.397526,121.30702
POINT (121.306922 24.397336),1900.9,24.397336,121.306922
POINT (121.306911 24.397307),1899.0,24.397307,121.306911
POINT (121.306915 24.397209),1901.3,24.397209,121.306915
POINT (121.30701 24.397185),1899.5,24.397185,121.30701
POINT (121.307373 24.396892),1904.5,24.396892,121.307373
POINT (121.307424 24.396891),1900.5,24.396891,121.307424
POINT (121.3077 24.397),1907.1017728706634,24.397,121.3077
POINT (121.307954 24.397081),1908.9,24.397081,121.307954
POINT (121.30799 24.39714),1909.6,24.39714,121.30799
POINT (121.307933 24.397487),1900.7,24.397487,121.307933
POINT (121.307905 24.397537),1912.6,24.397537,121.307905
POINT (121.307742 24.397662),1901.0,24.397662,121.307742
POINT (121.307816 24.397925),1902.5,24.397925,121.307816
POINT (121.307955 24.398296),1905.1,24.398296,121.307955
POINT (121.308101 24.398514),1918.3,24.398514,121.308101
POINT (121.308182 24.398782),1908.9,24.398782,121.308182
POINT (121.3083 24.3989),1921.2682377430745,24.3989,121.3083
POINT (121.308315 24.399099),1922.7,24.399099,121.308315
POINT (121.308324 24.399156),1911.9,24.399156,121.308324
POINT (121.308101 24.399457),1915.2,24.399457,121.308101
POINT (121.307886 24.399663),1930.9,24.399663,121.307886
POINT (121.307736 24.399935),1917.4,24.399935,121.307736
POINT (121.307369 24.400384),1939.5,24.400384,121.307369
POINT (121.307352 24.400447),1921.7,24.400447,121.307352
POINT (121.307357 24.400531),1941.5,24.400531,121.307357
POINT (121.307125 24.400971),1927.8,24.400971,121.307125
POINT (121.307034 24.401079),1948.7,24.401079,121.307034
POINT (121.306979 24.401183),1929.9,24.401183,121.306979
POINT (121.306961 24.40131),1951.6,24.40131,121.306961
POINT (121.306991 24.401718),1934.8,24.401718,121.306991
POINT (121.306985 24.401808),1959.9,24.401808,121.306985
POINT (121.306937 24.401885),1936.7,24.401885,121.306937
POINT (121.306937 24.401948),1963.9,24.401948,121.306937
POINT (121.30699 24.402175),1939.5,24.402175,121.30699
POINT (121.307124 24.402497),1973.6,24.402497,121.307124
POINT (121.307189 24.402744),1944.9,24.402744,121.307189
POINT (121.3072 24.403121),1985.1,24.403121,121.3072
