geometry,elevation,latitude,longitude
POINT (121.3077 24.397),1898.876609340409,24.397,121.3077
POINT (121.30812638344149 24.39884477991679),1899.1294815158471,24.39884477991679,121.30812638344149
POINT (121.3083 24.3989),1908.8373474569262,24.3989,121.3083
POINT (121.30829328575243 24.39924236898166),1911.8828662663643,24.39924236898166,121.30829328575243
POINT (121.30786755329879 24.399721335508524),1921.921469681013,24.399721335508524,121.30786755329879
POINT (121.30753037305159 24.40008022006423),1924.8718032006793,24.40008022006423,121.30753037305159
POINT (121.30737520441892 24.400507102273046),1929.4819273660767,24.400507102273046,121.30737520441892
POINT (121.30691619570838 24.40131174308535),1938.965833455622,24.40131174308535,121.30691619570838
POINT (121.30695325783239 24.40221944424623),1952.9081076772009,24.40221944424623,121.30695325783239
POINT (121.30716316643682 24.403105727900826),1955.8474992397753,24.403105727900826,121.30716316643682
POINT (121.30728407402918 24.403231485507582),1951.6645027262255,24.403231485507582,121.30728407402918
POINT (121.30728324502265 24.40400373112469),1970.4808781938277,24.40400373112469,121.30728324502265
POINT (121.3074661060129 24.40489471314978),1982.5931529688232,24.40489471314978,121.3074661060129
POINT (121.30758 24.40522),1986.9769755718607,24.40522,121.30758
POINT (121.30759782495937 24.40528830533728),1987.8729221860367,24.40528830533728,121.30759782495937
POINT (121.30741738213845 24.405314565403685),1981.0523689983845,24.405314565403685,121.30741738213845
POINT (121.30710034700577 24.405036110932063),2001.0783912942788,24.405036110932063,121.30710034700577
POINT (121.3069349221637 24.40412603673316),1992.486102984353,24.40412603673316,121.3069349221637
POINT (121.30671156032611 24.403665800900875),1994.8966342699362,24.403665800900875,121.30671156032611
POINT (121.30638572253064 24.40336599867509),2003.4939111555814,24.40336599867509,121.30638572253064
POINT (121.30623041432334 24.402981892834372),2002.523663558667,24.402981892834372,121.30623041432334
POINT (121.3060798907345 24.402951083842986),2006.1904564937386,24.402951083842986,121.3060798907345
POINT (121.306 24.403),2006.552280474641,24.403,121.306
POINT (121.30621237412107 24.403401774351874),2013.156613625465,24.403401774351874,121.30621237412107
POINT (121.30569882706713 24.40402127777349),2031.1887670249894,24.40402127777349,121.30569882706713
POINT (121.30480077895997 24.404403642951166),2041.87969467586,24.404403642951166,121.30480077895997
POINT (121.3040438334786 24.40499063880798),2061.2127389747548,24.40499063880798,121.3040438334786
POINT (121.30324171162187 24.405531341580964),2065.396799690294,24.405531341580964,121.30324171162187
POINT (121.30303825589756 24.405875652702722),2070.884557815186,24.405875652702722,121.30303825589756
POINT (121.30270717320258 24.405870603652474),2075.665775699777,24.405870603652474,121.30270717320258
POINT (121.30266495963804 24.406024318626834),2079.8839135517096,24.406024318626834,121.30266495963804
POINT (121.30309148577169 24.406051278841066),2083.453688092221,24.406051278841066,121.30309148577169
POINT (121.30321916531803 24.40576182772974),2082.8462225478797,24.40576182772974,121.30321916531803
POINT (121.30423456508402 24.405474014818807),2091.8553420125277,24.405474014818807,121.30423456508402
POINT (121.30495139391289 24.405196890204234),2099.9532798713944,24.405196890204234,121.30495139391289
POINT (121.3050931221786 24.405023250738925),2098.6146507053472,24.405023250738925,121.3050931221786
POINT (121.3055364495779 24.404954935298125),2098.5843881525802,24.404954935298125,121.3055364495779
POINT (121.30579751767542 24.40514362291724),2095.3771494007165,24.40514362291724,121.30579751767542
POINT (121.30522304851874 24.405240782116238),2108.9204210090675,24.405240782116238,121.30522304851874
POINT (121.30457093736408 24.405801343916142),2122.9531551306904,24.405801343916142,121.30457093736408
POINT (121.30399551337676 24.405960506062193),2123.5052974267337,24.405960506062193,121.30399551337676
